,Date,Opponents,Attendance,Year,month,month_name,Day
187,1995-04-09,Oldham,2137,1995,4,April,Sunday
188,1995-04-17,Featherstone,1882,1995,4,April,Monday
189,1995-04-23,Halifax,2823,1995,4,April,Sunday
190,1995-08-20,Leeds,4234,1995,8,August,Sunday
191,1995-09-03,Castleford,2504,1995,9,September,Sunday
192,1995-09-08,Warrington,4160,1995,9,September,Friday
193,1995-09-24,London,3717,1995,9,September,Sunday
194,1995-11-05,Oldham,3987,1995,11,November,Sunday
195,1995-11-29,St Helens,1743,1995,11,November,Wednesday
196,1995-12-08,Workington,2032,1995,12,December,Friday
197,1995-12-20,Halifax,1594,1995,12,December,Wednesday
198,1996-01-05,Bradford,2451,1996,1,January,Friday
199,1996-01-19,Wigan,4639,1996,1,January,Friday
200,1996-04-05,Bradford,5202,1996,4,April,Friday
201,1996-04-14,London,3888,1996,4,April,Sunday
202,1996-05-03,Castleford,5486,1996,5,May,Friday
203,1986-05-19,Oldham,4076,1986,5,May,Monday
204,1996-06-08,St Helens ,6708,1996,6,June,Saturday
205,1996-06-15,Paris,5350,1996,6,June,Saturday
206,1996-06-29,Workington,3468,1996,6,June,Saturday
207,1996-07-14,Leeds,4265,1996,7,July,Sunday
208,1996-07-28,Warrington,4000,1996,7,July,Sunday
209,1996-08-03,Wigan,5103,1996,8,August,Saturday
210,1996-08-11,Halifax,3201,1996,8,August,Sunday
211,1997-03-16,Paris,4213,1997,3,March,Sunday
212,1997-03-28,Warrington,4112,1997,3,March,Friday
213,1997-04-06,Castleford,4735,1997,4,April,Sunday
214,1997-04-20,Leeds,5332,1997,4,April,Sunday
215,1997-05-11,Oldham,4000,1997,5,May,Sunday
216,1997-05-23,Halifax,3000,1997,5,May,Friday
217,1997-06-15,Perth,2065,1997,6,June,Sunday
218,1997-06-20,Hunter,2350,1997,6,June,Friday
219,1997-07-02,St Helens,3200,1997,7,July,Wednesday
220,1997-07-13,London,3150,1997,7,July,Sunday
221,1997-08-10,Wigan,3250,1997,8,August,Sunday
222,1997-08-16,Bradford,10603,1997,8,August,Saturday
223,1997-08-25,Salford,2943,1997,8,August,Monday
224,1997-09-05,Warrington,2500,1997,9,September,Friday
225,1998-03-01,Egremont,1100,1998,3,March,Sunday
226,1998-04-05,Hull,4511,1998,4,April,Sunday
227,1998-04-17,Bradford,4678,1998,4,April,Friday
228,1998-05-09,Wigan,7365,1998,5,May,Saturday
229,1998-05-23,Leeds,6283,1998,5,May,Saturday
230,1998-05-30,Halifax,3811,1998,5,May,Saturday
231,1998-06-20,St Helens,3675,1998,6,June,Saturday
232,1998-07-03,Castleford,3151,1998,7,July,Friday
233,1998-07-17,Halifax,3087,1998,7,July,Friday
234,1998-08-07,Huddersfield,2550,1998,8,August,Friday
235,1998-08-21,Salford,2571,1998,8,August,Friday
236,1998-09-11,London,2420,1998,9,September,Friday
237,1998-09-18,Warrington,3083,1998,9,September,Friday
238,1999-03-20,London,3269,1999,3,March,Saturday
239,1999-04-02,Huddersfield,3621,1999,4,April,Friday
240,1999-04-11,Leeds,5101,1999,4,April,Sunday
241,1999-04-25,Wakefield,4387,1999,4,April,Sunday
242,1999-05-08,Halifax,3901,1999,5,May,Saturday
243,1999-05-22,Salford,3100,1999,5,May,Saturday
244,1999-06-05,Bradford,4801,1999,6,June,Saturday
245,1999-06-26,Hull,3449,1999,6,June,Saturday
246,1999-06-29,Gateshead,2319,1999,6,June,Tuesday
247,1999-07-10,St Helens,4487,1999,7,July,Saturday
248,1999-07-21,Wigan,3526,1999,7,July,Wednesday
249,1999-07-24,Warrington,2614,1999,7,July,Saturday
250,1999-08-07,Castleford,3750,1999,8,August,Saturday
251,1999-08-28,London,2024,1999,8,August,Saturday
252,1999-09-04,Huddersfield,3500,1999,9,September,Saturday
253,2000-01-16,Batley,1612,2000,1,January,Sunday
254,2000-01-25,Hunslet,1278,2000,1,January,Tuesday
255,2000-01-30,Thornhill,1100,2000,1,January,Sunday
256,2000-03-05,Doncaster,2732,2000,3,March,Sunday
257,2000-03-26,Workington,1177,2000,3,March,Sunday
258,2000-04-02,Oldham,1220,2000,4,April,Sunday
259,2000-04-21,Lancashire,1177,2000,4,April,Friday
260,2000-05-01,Whitehaven,1098,2000,5,May,Monday
261,2000-05-07,Rochdale,1055,2000,5,May,Sunday
262,2000-05-14,York,1038,2000,5,May,Sunday
263,2000-05-26,Hull KR,1021,2000,5,May,Friday
264,2000-05-29,Featherstone,1359,2000,5,May,Monday
265,2000-06-04,Dewsbury,1478,2000,6,June,Sunday
266,2000-06-18,Keighley,1424,2000,6,June,Sunday
267,2000-06-25,Barrow,1188,2000,6,June,Sunday
268,2000-12-03,Batley,1429,2000,12,December,Sunday
269,2001-01-07,Keighley,1642,2001,1,January,Sunday
270,2001-01-24,Gateshead,753,2001,1,January,Wednesday
271,2001-01-28,East Leeds,778,2001,1,January,Sunday
272,2001-01-31,Dewsbury,862,2001,1,January,Wednesday
273,2001-02-04,Hull KR,1081,2001,2,February,Sunday
274,2001-03-04,Barrow,838,2001,3,March,Sunday
275,2001-03-11,Widnes,1560,2001,3,March,Sunday
276,2001-03-31,Chorley,870,2001,3,March,Saturday
277,2001-04-13,Doncaster,1632,2001,4,April,Friday
278,2001-04-29,Leigh,1614,2001,4,April,Sunday
279,2001-05-13,Featherstone,1296,2001,5,May,Sunday
280,2001-05-20,Hunslet,1154,2001,5,May,Sunday
281,2001-06-03,York,1008,2001,6,June,Sunday
282,2001-06-24,Workington,1259,2001,6,June,Sunday
283,2001-12-09,Gateshead,1203,2001,12,December,Sunday
284,2001-12-23,Doncaster,1716,2001,12,December,Sunday
285,2002-01-13,Keighley,1489,2002,1,January,Sunday
286,2002-01-26,Leigh East,539,2002,1,January,Saturday
287,2002-02-03,Barrow,1091,2002,2,February,Sunday
288,2002-02-10,Wakefield,1972,2002,2,February,Sunday
289,2002-03-03,Hunslet,1058,2002,3,March,Sunday
290,2002-03-15,Oldham,1095,2002,3,March,Friday
291,2002-04-12,Gateshead,835,2002,4,April,Friday
292,2002-04-21,Keighley,862,2002,4,April,Sunday
293,2002-05-05,Featherstone,1074,2002,5,May,Sunday
294,2002-05-24,Chorley,629,2002,5,May,Friday
295,2002-06-02,Rochdale,910,2002,6,June,Sunday
296,2002-07-14,Workington,1071,2002,7,July,Sunday
297,2002-07-26,Batley,1110,2002,7,July,Friday
298,2002-08-18,Dewsbury,843,2002,8,August,Sunday
299,2002-08-25,Swinton,751,2002,8,August,Sunday
300,2002-09-08,Huddersfield,1405,2002,9,September,Sunday
301,2002-09-20,Swinton,425,2002,9,September,Friday
302,2002-09-28,Barrow,572,2002,9,September,Saturday
303,2003-02-09,Keighley,1235,2003,2,February,Sunday
304,2003-02-16,Doncaster,1053,2003,2,February,Sunday
305,2003-03-02,Hull,11729,2003,3,March,Sunday
306,2003-03-05,Batley,732,2003,3,March,Wednesday
307,2003-03-09,York,730,2003,3,March,Sunday
308,2003-03-21,Featherstone,856,2003,3,March,Friday
309,2003-04-06,Hull KR,1150,2003,4,April,Sunday
310,2003-04-21,York,897,2003,4,April,Monday
311,2003-05-09,Swinton,903,2003,5,May,Friday
312,2003-06-01,Chorley,747,2003,6,June,Sunday
313,2003-06-22,Keighley,1126,2003,6,June,Sunday
314,2003-06-29,Gateshead,1022,2003,6,June,Sunday
315,2003-07-20,Barrow,1037,2003,7,July,Sunday
316,2003-08-03,Skolars,854,2003,8,August,Sunday
317,2003-08-10,Hunslet,1002,2003,8,August,Sunday
318,2003-09-06,Workington,1011,2003,9,September,Saturday
319,2003-09-21,Chorley,732,2003,9,September,Sunday
