Date,Opponents,Attendance
06/09/2007,Whitehaven,1045
01/02/2008,Celtic,773
22/02/2008,Skolars,669
02/03/2008,Doncaster,942
07/03/2008,Lezignan,379
24/03/2008,Celtic,665
13/04/2008,Leigh,1108
02/05/2008,Salford,1058
30/05/2008,Halifax,1235
20/06/2008,Batley,812
11/07/2008,Whitehaven,810
25/07/2008,Featherstone,2107
14/08/2008,Widnes,1823
22/08/2008,Dewsbury,815
11/02/2009,Hunslet,556
01/03/2009,Halifax,1065
08/03/2009,Toulouse,1554
15/03/2009,Leigh,1220
03/04/2009,Dewsbury,597
09/04/2009,Doncaster,1209
26/04/2009,Widnes,1231
23/05/2009,Toulouse,809
13/06/2009,Whitehaven,811
03/07/2009,Batley,1286
23/07/2009,Gateshead,1410
13/08/2009,Halifax,1457
27/08/2009,Featherstone,1028
03/09/2009,Barrow,1283
11/09/2009,Featherstone,802
14/02/2010,York,814
17/02/2010,Halifax,851
07/03/2010,Thatto Heath,502
14/03/2010,Widnes,1085
19/03/2010,Dewsbury,835
11/04/2010,Featherstone,2871
17/04/2010,Wigan,2950
03/05/2010,Whitehaven,1301
12/05/2010,Batley,1170
15/05/2010,Toulouse,979
27/05/2010,Keighley,1271
24/06/2010,Barrow,848
08/08/2010,Halifax,1473
19/08/2010,Leigh,1243
13/02/2011,Whitehaven,727
27/02/2011,Hunslet,854
06/03/2011,Leeds Met,350
13/03/2011,Widnes,1831
26/03/2011,Toulouse,1076
03/04/2011,Halifax,1282
15/05/2011,Leigh,1778
29/05/2011,Hunslet,907
03/06/2011,Dewsbury,683
30/06/2011,Barrow,1054
21/08/2011,Batley,1174
28/08/2011,Featherstone,1336
04/09/2011,York,1147
09/09/2011,Widnes,564
18/09/2011,Halifax,1233
19/02/2012,Leigh,1045
02/03/2012,York,725
11/03/2012,Swinton,1815
29/03/2012,Halifax,1412
06/05/2012,Leigh,1237
18/05/2012,Dewsbury,1154
24/05/2012,Batley,1117
15/06/2012,Hunslet,286
22/06/2012,York,784
06/07/2012,Halifax,671
20/07/2012,Keighley,854
10/08/2012,Hunslet,777
16/08/2012,Featherstone,1449
09/09/2012,Batley,722
08/02/2013,Batley,1008
01/03/2013,York,1011
14/03/2013,Featherstone,1243
29/03/2013,Doncaster,1253
07/04/2013,Leigh East,333
14/04/2013,Barrow,1177
20/04/2013,Dewsbury,467
03/05/2013,Dewsbury,904
10/05/2013,Halifax,782
19/05/2013,Barrow,408
24/05/2013,Halifax,1104
09/06/2013,Whitehaven,1028
14/06/2013,Dewsbury,576
05/07/2013,Swinton,814
12/07/2013,London B,2459
26/07/2013,Keighley,710
31/07/2013,Workington,732
09/08/2013,Leigh,1012
22/08/2013,Hunslet,1184
06/09/2013,Halifax,773
15/09/2013,Dewsbury,839
02/03/2014,Barrow,897
16/03/2014,East Leeds,619
23/03/2014,Dewsbury,911
05/04/2014,Skolars,505
20/04/2014,Doncaster,1018
11/05/2014,Featherstone,1279
25/05/2014,Leigh,1151
08/06/2014,Workington,712
22/06/2014,Keighley,743
29/06/2014,Halifax,955
13/07/2014,Crusaders,671
27/07/2014,Batley,763
10/08/2014,Swinton,600
17/08/2014,Whitehaven,644
20/08/2014,Rochdale,560
13/09/2014,Batley,695
22/02/2015,London B,850
08/03/2015,Batley,1358
22/03/2015,Oldham,484
29/03/2015,Hunslet,1136
12/04/2015,Leigh,1454
19/04/2015,Hull,1620
26/04/2015,Halifax,1437
08/05/2015,Doncaster,863
19/05/2015,Dewsbury,682
13/06/2015,Whitehaven,503
28/06/2015,Workington,506
12/07/2015,Bradford,2153
19/07/2015,Featherstone,2443
23/08/2015,Halifax,854
18/09/2015,Hull KR,2017
27/09/2015,Wakefield,1712
12/02/2016,Halifax,1350
26/02/2016,Swinton,508
12/03/2016,Whitehaven,502
19/03/2016,Swinton,412
22/04/2016,London,513
29/04/2016,Dewsbury,441
14/05/2016,Workington,494
20/05/2016,Bradford,995
10/06/2016,Batley,651
24/06/2016,Featherstone,817
01/07/2016,Oldham,531
