,Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,Are You? ,How old are you? ,How would you describe yourself,Postcode,Latitude,Longitude
64,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Male,16-25,White,S20,53.3345935078864,-1.35222000630915
65,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,40-49,White,LE12,52.7679132974521,-1.191111222293
66,None of the above but are interested in the project,2011- 2021,A fan from Australia,Male,60-69,White,3204,,
67,Someone who works for an organisation that currently works or could work in partnership with the club and the Foundation,1984 - 1990,Someone who doesn't attend games but follows the results,Male,60-69,White,YO51,54.089801226923,-1.39459774230769
68,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who doesn't attend games but follows the results,Male,70 or older,White,S17  ,53.3212638900804,-1.52904590080429
69,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,70 or older,White,DN8  ,53.6152939249492,-0.955319937119675
70,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Male,25-39,White,S6,53.4029378722717,-1.51308651010509
71,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who has a season ticket and attends all home games,,16-25,White,S20,53.3345935078864,-1.35222000630915
72,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Female,40-49,White,HD3,53.6536014204702,-1.83200933886584
73,Former player ,1984 - 1990,A current or former player,Male,60-69,White,WF10,53.7239207626582,-1.34774750316455
74,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,70 or older,White,S17  ,53.3212638900804,-1.52904590080429
75,A player or member of club staff,1984 - 1990,A current or former player,Male,50-59,White,S36  ,53.5058372473262,-1.61701614839572
76,A player or member of club staff,1984 - 1990,A current or former player,Male,50-59,White,S35  ,53.4586070777027,-1.49845180518018
77,A current Sheffield Eagles fan who attends games,2011- 2021,Someone who has a season ticket and attends all home games,Male,40-49,Asian / Asian British,S5,53.4222641463879,-1.46330644676806
78,None of the above but are interested in the project,1984 - 1990,A current or former player,Male,60-69,White,WF8 ,53.6864689727626,-1.30043799805447
79,A player or member of club staff,1984 - 1990,A current or former player,Male,60-69,White,HX2,53.7386029643494,-1.90658620409982
80,A Sheffield Eagles fan who no longer attends games,2011- 2021,Someone who doesn't attend games but follows the results,Male,25-39,White,,,
81,Ex player ,1984 - 1990,A current or former player,Male,50-59,White,WF8 ,53.6864689727626,-1.30043799805447
82,A player or member of club staff,2011- 2021,A current or former player,Male,25-39,White,S75  ,53.5627064526474,-1.52135271513796
83,Former player ,2011- 2021,A current or former player,Male,40-49,Other,S6 ,53.4029378722717,-1.51308651010509
84,Used to be a member of staff ,2011- 2021,Used to work for the Club,Female,40-49,White,S70 ,53.5412012117922,-1.47491682777347
85,Ex player ,1991 - 2000,A current or former player,Male,25-39,White,W5,51.5133347588584,-0.302268556102362
86,Ex player,2011- 2021,A current or former player,Male,25-39,White,WF10 ,53.7239207626582,-1.34774750316455
87,A player or member of club staff,1984 - 1990,A current or former player,Male,60-69,White,DN8  ,53.6152939249492,-0.955319937119675
88,Ex player,2011- 2021,A current or former player,Male,25-39,White,WF8,53.6864689727626,-1.30043799805447
89,Former player,2011- 2021,A current or former player,Male,40-49,White,WA3,53.4565333520477,-2.54799364795244
90,A player or member of club staff,1984 - 1990,A current or former player,Male,60-69,White,6004 - Perth Western Australia,,
91,A player or member of club staff,2001 - 2010,A current or former player,Male,25-39,Other,DN5,53.5384846701244,-1.17431927489627
92,A sponsor of the club,1991 - 2000,Someone who attends games home or away on a regular basis,Male,50-59,White,S18,53.2994739648829,-1.47440410033445
93,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,40-49,White,S13,53.364656582343,-1.38369538370119
94,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1984 - 1990,Someone who plans to attend games from 2022,Female,50-59,White,S14,53.3460220765028,-1.44439153551913
95,Former player ,2001 - 2010,A current or former player,Male,40-49,White,WF4,53.6466385973101,-1.51929442325949
96,A sponsor of the club,1984 - 1990,Someone who has a season ticket and attends all home games,Male,70 or older,White,S26  ,53.3520526630037,-1.29096045787546
97,A player or member of club staff,1984 - 1990,Member of staff,Male,50-59,White,S8 ,53.3400855827506,-1.47767373310023
98,wheelchair rugby player,You plan to attend games from 2022,Someone who plans to attend games from 2022,Male,40-49,White,DE4,53.1268789549462,-1.5652728158668
99,,1991 - 2000,Someone who doesn't attend games but follows the results,Female,60-69,Black / African / Caribbean /Black British,YO26,53.976023817975,-1.18053647554039
100,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Someone who plans to attend games from 2022,Male,60-69,White,S43,53.2674933225808,-1.33986800276497
101,A sponsor of the club,1984 - 1990,Someone who attends games home or away on a regular basis,Male,50-59,White,S36  ,53.5058372473262,-1.61701614839572
102,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Male,25-39,White,S11,53.3607688694992,-1.5078954491654
103,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Male,16-25,White,S26,53.3520526630037,-1.29096045787546
104,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Female,25-39,White,HD9  ,53.5805329916387,-1.79737410200669
105,A current Sheffield Eagles fan who attends games,2011- 2021,Someone who occasionally attends home games,Female,25-39,White,S12,53.3482196564885,-1.40645208091603
106,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Someone who plans to attend games from 2022,Male,25-39,White,S11,53.3607688694992,-1.5078954491654
